,scene,file,split,range,0,1,2,3,4,5,6,7
0,3_fire_site_3.3,61,Train,[0-20[,96166,0,0,0,9327,2456,463,0
1,3_fire_site_3.3,61,Train,[20-40[,45591,1312,0,0,4168,0,0,0
2,3_fire_site_3.3,61,Train,[40-60[,8244,438,0,0,959,0,0,0
3,3_fire_site_3.3,61,Train,[60-80[,5870,0,0,0,186,607,0,0
4,3_fire_site_3.3,61,Train,[80-100[,4682,0,0,0,15,172,0,0
5,3_fire_site_3.3,61,Train,[100-140[,7378,0,0,0,0,0,234,0
6,3_fire_site_3.3,61,Train,[140-180[,1877,0,0,0,0,223,0,0
7,3_fire_site_3.3,61,Train,[180-220[,1882,0,0,0,0,85,0,0
8,3_fire_site_3.3,61,Train,[220-1000[,486,0,0,0,0,0,0,0
9,3_fire_site_3.3,65,Train,[0-20[,95959,0,0,0,9480,3123,0,0
10,3_fire_site_3.3,65,Train,[20-40[,45577,563,0,0,4292,0,350,0
11,3_fire_site_3.3,65,Train,[40-60[,8264,943,0,0,1108,0,0,0
12,3_fire_site_3.3,65,Train,[60-80[,4294,0,0,0,236,0,0,0
13,3_fire_site_3.3,65,Train,[80-100[,5556,0,0,0,11,858,0,0
14,3_fire_site_3.3,65,Train,[100-140[,7573,0,0,0,0,0,279,0
15,3_fire_site_3.3,65,Train,[140-180[,1747,0,0,0,0,232,0,0
16,3_fire_site_3.3,65,Train,[180-220[,1651,0,0,0,0,47,0,0
17,3_fire_site_3.3,65,Train,[220-1000[,642,0,0,0,0,0,0,0
18,3_fire_site_3.3,62,Train,[0-20[,96718,0,0,0,9396,1856,304,0
19,3_fire_site_3.3,62,Train,[20-40[,45388,1223,0,0,4202,0,0,0
20,3_fire_site_3.3,62,Train,[40-60[,8148,307,0,0,959,0,0,0
21,3_fire_site_3.3,62,Train,[60-80[,5388,0,0,0,210,537,0,0
22,3_fire_site_3.3,62,Train,[80-100[,4913,0,0,0,13,151,0,0
23,3_fire_site_3.3,62,Train,[100-140[,7810,0,0,0,0,0,247,0
24,3_fire_site_3.3,62,Train,[140-180[,1997,0,0,0,0,252,0,0
25,3_fire_site_3.3,62,Train,[180-220[,2079,0,0,0,0,57,0,0
26,3_fire_site_3.3,62,Train,[220-1000[,556,0,0,0,0,0,0,0
27,3_fire_site_3.3,59,Train,[0-20[,96924,0,0,0,9342,2723,492,0
28,3_fire_site_3.3,59,Train,[20-40[,44818,1398,0,0,4428,0,0,0
29,3_fire_site_3.3,59,Train,[40-60[,7891,503,0,0,933,0,0,0
30,3_fire_site_3.3,59,Train,[60-80[,5749,0,0,0,269,458,0,0
31,3_fire_site_3.3,59,Train,[80-100[,4273,0,0,0,18,195,0,0
32,3_fire_site_3.3,59,Train,[100-140[,7251,0,0,0,0,0,283,0
33,3_fire_site_3.3,59,Train,[140-180[,1841,0,0,0,0,259,0,0
34,3_fire_site_3.3,59,Train,[180-220[,2005,0,0,0,0,64,0,0
35,3_fire_site_3.3,59,Train,[220-1000[,477,0,0,0,0,0,0,0
36,3_fire_site_3.3,58,Train,[0-20[,97293,0,0,0,9290,2931,535,0
37,3_fire_site_3.3,58,Train,[20-40[,44440,1852,0,0,4315,0,0,0
38,3_fire_site_3.3,58,Train,[40-60[,7522,59,0,0,830,0,0,0
39,3_fire_site_3.3,58,Train,[60-80[,6380,0,0,0,242,711,0,0
40,3_fire_site_3.3,58,Train,[80-100[,3740,0,0,0,15,185,0,0
41,3_fire_site_3.3,58,Train,[100-140[,7425,0,0,0,0,6,258,0
42,3_fire_site_3.3,58,Train,[140-180[,1951,0,0,0,0,285,0,0
43,3_fire_site_3.3,58,Train,[180-220[,2121,0,0,0,0,67,0,0
44,3_fire_site_3.3,58,Train,[220-1000[,463,0,0,0,0,0,0,0
45,3_fire_site_3.3,64,Train,[0-20[,96146,0,0,0,9552,2488,0,0
46,3_fire_site_3.3,64,Train,[20-40[,46090,817,0,0,4398,0,355,0
47,3_fire_site_3.3,64,Train,[40-60[,7980,742,0,0,1012,0,0,0
48,3_fire_site_3.3,64,Train,[60-80[,4509,0,0,0,221,174,0,0
49,3_fire_site_3.3,64,Train,[80-100[,5574,0,0,0,10,491,0,0
50,3_fire_site_3.3,64,Train,[100-140[,7515,0,0,0,0,0,248,0
51,3_fire_site_3.3,64,Train,[140-180[,1810,0,0,0,0,205,0,0
52,3_fire_site_3.3,64,Train,[180-220[,1656,0,0,0,0,46,0,0
53,3_fire_site_3.3,64,Train,[220-1000[,535,0,0,0,0,0,0,0
54,3_fire_site_3.3,56,Train,[0-20[,99472,0,0,0,9328,3268,639,0
55,3_fire_site_3.3,56,Train,[20-40[,42022,2140,0,0,4278,0,0,0
56,3_fire_site_3.3,56,Train,[40-60[,6734,0,0,0,805,0,0,0
57,3_fire_site_3.3,56,Train,[60-80[,6366,0,0,0,240,519,0,0
58,3_fire_site_3.3,56,Train,[80-100[,3839,0,0,0,13,179,0,0
59,3_fire_site_3.3,56,Train,[100-140[,7127,0,0,0,0,159,317,0
60,3_fire_site_3.3,56,Train,[140-180[,1546,0,0,0,0,135,0,0
61,3_fire_site_3.3,56,Train,[180-220[,2252,0,0,0,0,68,0,0
62,3_fire_site_3.3,56,Train,[220-1000[,483,0,0,0,0,0,0,0
63,3_fire_site_3.3,60,Train,[0-20[,96968,0,0,0,9374,2560,483,0
64,3_fire_site_3.3,60,Train,[20-40[,44744,1417,0,0,4359,0,0,0
65,3_fire_site_3.3,60,Train,[40-60[,8218,502,0,0,888,0,0,0
66,3_fire_site_3.3,60,Train,[60-80[,5660,0,0,0,228,581,0,0
67,3_fire_site_3.3,60,Train,[80-100[,4422,0,0,0,21,158,0,0
68,3_fire_site_3.3,60,Train,[100-140[,7354,0,0,0,0,0,250,0
69,3_fire_site_3.3,60,Train,[140-180[,1851,0,0,0,0,271,0,0
70,3_fire_site_3.3,60,Train,[180-220[,2001,0,0,0,0,63,0,0
71,3_fire_site_3.3,60,Train,[220-1000[,490,0,0,0,0,0,0,0
72,3_fire_site_3.3,57,Train,[0-20[,98472,0,0,0,9298,3049,642,0
73,3_fire_site_3.3,57,Train,[20-40[,43489,1886,0,0,4427,0,0,0
74,3_fire_site_3.3,57,Train,[40-60[,6798,0,0,0,926,0,0,0
75,3_fire_site_3.3,57,Train,[60-80[,6462,0,0,0,286,548,0,0
76,3_fire_site_3.3,57,Train,[80-100[,3698,0,0,0,17,164,0,0
77,3_fire_site_3.3,57,Train,[100-140[,7375,0,0,0,0,147,288,0
78,3_fire_site_3.3,57,Train,[140-180[,1633,0,0,0,0,170,0,0
79,3_fire_site_3.3,57,Train,[180-220[,2145,0,0,0,0,57,0,0
80,3_fire_site_3.3,57,Train,[220-1000[,473,0,0,0,0,0,0,0
81,3_fire_site_3.3,63,Train,[0-20[,96019,0,0,0,9449,2180,47,0
82,3_fire_site_3.3,63,Train,[20-40[,46277,1214,0,0,4294,0,329,0
83,3_fire_site_3.3,63,Train,[40-60[,7899,423,0,0,1035,0,0,0
84,3_fire_site_3.3,63,Train,[60-80[,5079,0,0,0,254,525,0,0
85,3_fire_site_3.3,63,Train,[80-100[,4885,0,0,0,11,235,0,0
86,3_fire_site_3.3,63,Train,[100-140[,7250,0,0,0,0,0,236,0
87,3_fire_site_3.3,63,Train,[140-180[,1867,0,0,0,0,243,0,0
88,3_fire_site_3.3,63,Train,[180-220[,1878,0,0,0,0,56,0,0
89,3_fire_site_3.3,63,Train,[220-1000[,565,0,0,0,0,0,0,0
90,4_station_pedestrian_bridge_4.4,183,Test,[0-20[,121990,5335,0,627,4532,0,0,0
91,4_station_pedestrian_bridge_4.4,183,Test,[20-40[,42146,8,0,0,1660,0,0,0
92,4_station_pedestrian_bridge_4.4,183,Test,[40-60[,7157,292,0,0,340,0,0,0
93,4_station_pedestrian_bridge_4.4,183,Test,[60-80[,12935,121,0,0,130,0,589,0
94,4_station_pedestrian_bridge_4.4,183,Test,[80-100[,2991,0,0,45,17,0,0,0
95,4_station_pedestrian_bridge_4.4,183,Test,[100-140[,4863,0,0,0,0,0,0,0
96,4_station_pedestrian_bridge_4.4,183,Test,[140-180[,1151,0,0,0,0,0,0,0
97,4_station_pedestrian_bridge_4.4,183,Test,[180-220[,2391,0,0,0,0,0,0,0
98,4_station_pedestrian_bridge_4.4,183,Test,[220-1000[,918,0,0,0,0,0,0,0
99,4_station_pedestrian_bridge_4.4,146,Test,[0-20[,122541,5374,0,623,4609,0,0,0
100,4_station_pedestrian_bridge_4.4,146,Test,[20-40[,40824,13,0,0,1633,0,0,0
101,4_station_pedestrian_bridge_4.4,146,Test,[40-60[,7269,239,0,0,312,0,0,0
102,4_station_pedestrian_bridge_4.4,146,Test,[60-80[,12730,280,0,0,121,0,564,0
103,4_station_pedestrian_bridge_4.4,146,Test,[80-100[,3296,0,0,54,16,0,0,0
